TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-17 19:00:00,31112,13.75,26.56054,1.787997,0.2569982,15.92192,0.1986717,0.3120025,26.16193,1.793159,0.306841,0.2569969,0.1981532,15.84134
2011-08-17 19:30:00,31113,13.81,23.62765,1.789833,0.2586289,15.70947,0.1985575,0.310167,22.13571,1.793534,0.3064655,0.2593993,0.1982733,15.57422
2011-08-17 20:00:00,31114,13.73,21.40412,1.788125,0.2608166,15.42737,0.1983974,0.3118748,20.24112,1.786735,0.3132648,0.2622066,0.1983933,15.2652
2011-08-17 20:30:00,31115,13.16,18.98182,1.783326,0.2630227,15.08054,0.1977953,0.3166737,18.04227,1.785189,0.3148105,0.2639626,0.1974332,14.91837
2011-08-17 21:00:00,31116,13.1,17.35735,1.781902,0.2650958,14.70755,0.1968819,0.3180982,16.68719,1.778971,0.3210292,0.265672,0.1959956,14.5094
2011-08-17 21:30:00,31117,13.08,16.07317,1.7806,0.2665113,14.3454,0.195521,0.3193994,15.35379,1.776929,0.3230706,0.2670836,0.1946799,14.1564
2011-08-17 22:00:00,31118,13.06,15.18272,1.780255,0.2675181,13.98955,0.1938799,0.3197451,14.60672,1.778733,0.3212671,0.2683842,0.193486,13.83716
2011-08-17 22:30:00,31119,13.03,14.46568,1.780261,0.2689447,13.64392,0.1925899,0.3197385,13.42352,1.785315,0.3146851,0.2688999,0.1915795,13.49826
2011-08-17 23:00:00,31120,13.02,12.76632,1.779395,0.2695312,13.30339,0.1907154,0.3206049,12.06543,1.778014,0.3219858,0.2704636,0.1902717,13.14008
2011-08-17 23:30:00,31121,13,11.4697,1.77801,0.2706065,12.94708,0.1890658,0.3219899,10.91547,1.781564,0.3184354,0.2704521,0.1879245,12.79413
2011-08-18 00:00:00,31122,12.98,9.830564,1.777887,0.2716108,12.58784,0.187328,0.3221124,9.495758,1.775072,0.3249274,0.2721155,0.1865263,12.4187
2011-08-18 00:30:00,31123,12.97,8.756389,1.777116,0.2725577,12.2255,0.1855121,0.3228835,8.413483,1.778778,0.3212223,0.2735736,0.1848999,12.03476
2011-08-18 01:00:00,31124,12.96,8.482432,1.775576,0.2735479,11.89673,0.1839378,0.3244238,8.134583,1.776882,0.3231181,0.2747363,0.1834863,11.71454
2011-08-18 01:30:00,31125,12.94,8.217976,1.77589,0.2749536,11.58942,0.1827703,0.3241103,8.273926,1.775292,0.3247082,0.2753806,0.1820745,11.44696
2011-08-18 02:00:00,31126,12.93,6.921821,1.775797,0.2763962,11.285,0.1816261,0.3242033,6.178833,1.774739,0.3252614,0.2772921,0.1811347,11.12909
2011-08-18 02:30:00,31127,12.91,6.164752,1.774727,0.2773522,10.98762,0.1801923,0.3252732,5.623962,1.774996,0.3250043,0.2775157,0.1793759,10.85452
2011-08-18 03:00:00,31128,12.89,6.236897,1.774686,0.2782245,10.6976,0.1787419,0.3253141,6.108246,1.781592,0.3184078,0.2792838,0.1783226,10.53998
2011-08-18 03:30:00,31129,12.88,5.244,1.774812,0.2786356,10.41767,0.1770563,0.325188,5.034973,1.773119,0.3268806,0.2791874,0.1764567,10.28146
2011-08-18 04:00:00,31130,12.86,4.368854,1.774523,0.2795875,10.13225,0.1756659,0.3254773,3.924927,1.777636,0.3223643,0.2798995,0.1747373,9.971436
2011-08-18 04:30:00,31131,12.85,3.634534,1.773632,0.2805436,9.848483,0.1742765,0.3263673,3.341522,1.770733,0.3292674,0.2802919,0.1732289,9.721222
2011-08-18 05:00:00,31132,12.83,3.96114,1.773839,0.2812638,9.57601,0.1728082,0.326161,4.655579,1.772918,0.3270814,0.2809192,0.1718556,9.470459
2011-08-18 05:30:00,31133,12.81,3.89867,1.77384,0.2819948,9.327591,0.1715056,0.3261601,3.944458,1.775684,0.3243161,0.2827663,0.1709283,9.179443
2011-08-18 06:00:00,31134,12.8,2.936086,1.773873,0.2836322,9.063283,0.1706273,0.3261265,3.050018,1.77181,0.32819,0.2834298,0.1695536,8.928833
